Treebanks	fare	potere	avere	sapere	volere	andare	stare	dovere	venire	essere
UD_Italian-PUD	0.0	0.07121057985757884	0.24109867751780265	0.001017293997965412	0.002034587995930824	0.0	0.023397761953204477	0.023397761953204477	0.07833163784333673	0.5595116988809766
UD_Italian-PoSTWITA	0.0	0.06106354213609734	0.19558359621451105	0.0006759801712483101	0.035826949076160436	0.0038305543037404238	0.0	0.05114916629112213	0.00473186119873817	0.6471383506083822
UD_Italian-ParlaMint	0.0	0.0973630831643002	0.16227180527383367	0.0	0.037525354969574036	0.013184584178498986	0.02434077079107505	0.10141987829614604	0.04462474645030426	0.5192697768762677
UD_Italian-ISDT	0.0007689678742310321	0.09577922077922078	0.1895933014354067	0.0003417634996582365	0.015037593984962405	0.002734107997265892	0.009569377990430622	0.04630895420369104	0.03255297334244703	0.6073137388926863
UD_Italian-MarkIT	0.0004901960784313725	0.10882352941176471	0.09754901960784314	0.0004901960784313725	0.013725490196078431	0.004411764705882353	0.01715686274509804	0.03823529411764706	0.020098039215686276	0.6990196078431372
UD_Italian-VIT	0.0031840373593716833	0.0684568032264912	0.23636170664402462	0.00010613457864572278	0.013585226066652516	0.010082784971343664	0.01220547654425812	0.06187645935045638	0.02526002971768202	0.5688813415410741
UD_Italian-ParTUT	0.0	0.10616438356164383	0.15215264187866928	0.0	0.011741682974559686	0.0053816046966731895	0.015655577299412915	0.07093933463796477	0.029354207436399216	0.6086105675146771
UD_Italian-Valico	0.0	0.018581081081081082	0.5033783783783784	0.0	0.02702702702702703	0.0	0.04054054054054054	0.02195945945945946	0.0	0.3885135135135135
UD_Italian-TWITTIRO	0.0	0.06060606060606061	0.21120293847566574	0.0	0.03581267217630854	0.0027548209366391185	0.02203856749311295	0.04591368227731864	0.008264462809917356	0.6134067952249771
UD_Italian-Old	0.0	0.06605351170568562	0.10075250836120402	0.0	0.021739130434782608	0.0	0.0008361204013377926	0.019230769230769232	0.0004180602006688963	0.7909698996655519
